event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,lp_value,fractionality,selected_q,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,395,184,591,t_z_152_133_1,0.40158442516897991,0.40158442516897991,-27.928583145141602,0.69050413300000002,0.71755571200000001,true,branched,
1,2,1,416,377,1409,t_z_515_230_2,0.28710775651163134,0.28710775651163134,-27.992355346679688,0.66636213099999997,0.696779543,true,branched,
2,4,2,418,402,1509,t_z_544_518_0,0.1908689293486342,0.1908689293486342,-27.970443725585938,0.67286474399999996,0.69998353099999999,true,branched,
3,6,3,418,360,1332,t_z_285_495_0,0.1908689293486342,0.1908689293486342,-27.985712051391602,0.66894811799999998,0.69596433800000002,true,branched,
4,9,4,417,281,1017,t_z_513_512_2,0.078274137301812624,0.078274137301812624,-27.989377975463867,0.65076775099999995,0.67798043600000002,true,branched,
5,10,5,409,370,1408,t_z_230_515_2,0.29620132997891746,0.29620132997891746,-27.970668792724609,0.65734673499999996,0.68435076399999994,true,branched,
6,13,6,408,374,1429,t_z_525_137_0,0.19320353493510045,0.19320353493510045,-27.962509155273438,0.64384258999999999,0.67055300500000004,true,branched,
7,15,7,407,391,1508,t_z_518_544_0,0.19320353493510045,0.19320353493510045,-27.948152542114258,0.65815508599999994,0.68579359299999998,true,branched,
8,17,8,406,233,829,t_z_496_1_0,0.19320353493510045,0.19320353493510045,-27.960792541503906,0.66226184200000004,0.68907110199999999,true,branched,
9,18,9,406,291,1137,t_z_413_94_2,0.078013154969992143,0.078013154969992143,-28.030923843383789,0.64181991999999999,0.66857052100000003,true,branched,
10,20,10,485,399,1247,t_z_505_152_1,0.31302512042639241,0.31302512042639241,-28.041711807250977,0.66496549500000002,0.691255658,true,branched,
11,22,11,515,298,828,t_z_1_496_0,0.15903050921019712,0.15903050921019712,-28.253400802612305,0.65960432899999999,0.68671638400000001,true,branched,
12,25,12,503,484,1513,t_z_544_518_2,0.47023860293482772,0.47023860293482772,-28.086530685424805,0.64097097999999997,0.66789652700000002,true,branched,
13,27,13,486,417,1329,t_z_495_230_2,0.1710664004535237,0.1710664004535237,-28.390899658203125,0.65494618000000004,0.68152794100000003,true,branched,
