event_index,node_id,depth,candidate_count,selected_candidate_index,selected_variable_index,selected_variable_name,variable_family,lp_value,fractionality,selected_q,selected_bias,selected_biased,q_mean,q_std,q_min,q_max,q_top1_top2_margin,bias_mode,lambda_prim,primal_bound,dual_bound,gap,lp_iterations,nodes,graph_extract_time_seconds,inference_time_seconds,selection_time_seconds,selected_is_candidate,result,fallback_reason
0,1,0,229,2,5,t_m_1_1,m,0.14392768887882731,0.14392768887882731,-27.253595352172852,0.30000001192092896,-27.103595733642578,-27.915404523824499,0.3911853593585336,-29.252878189086914,-27.253595352172852,0.044942855834960938,prim,0.5,1e+20,0.021170299999999996,1e+20,16793,1,0.031053269000000001,0.85207758600000005,0.89250839800000004,true,branched,
1,2,1,249,31,69,t_m_17_1,m,0.15228269313745479,0.15228269313745479,-27.174142837524414,0.30000001192092896,-27.024143218994141,-27.867059332299903,0.39895003713481542,-29.28223991394043,-27.174142837524414,0.0053119659423828125,prim,0.5,1e+20,0.021170299999999996,1e+20,16828,2,0.031661553000000002,0.78715278200000005,0.82826968999999995,true,branched,
2,4,2,242,2,6,t_m_1_2,m,0.15920642836522181,0.15920642836522181,-27.138708114624023,0.30000001192092896,-26.98870849609375,-27.835246109765425,0.39994448301402596,-29.222692489624023,-27.138708114624023,0.028903961181640625,prim,0.5,1e+20,0.021170299999999996,1e+20,16860,3,0.032364156999999998,0.82153688800000002,0.86327778499999996,true,branched,
3,5,2,214,12,21,t_m_5_1,m,0.090909090909090939,0.090909090909090939,-27.239217758178711,0.30000001192092896,-27.089218139648438,-27.875144833716277,0.38808642701735424,-29.254842758178711,-27.149473190307617,0.013628005981445312,prim,0.5,1e+20,0.021170299999999996,1e+20,16981,4,0.029480688000000001,0.80776562200000002,0.84656791399999998,true,branched,
4,9,3,213,2,4,t_m_1_0,m,0.25,0.25,-27.203926086425781,0.30000001192092896,-27.053926467895508,-27.882893307108276,0.44115103657409771,-29.923053741455078,-27.1541748046875,0.02019500732421875,prim,0.5,1e+20,0.021170299999999996,1e+20,17042,5,0.029451221999999999,0.81906142000000004,0.85796591099999997,true,branched,
5,11,4,189,27,74,t_m_18_2,m,0.23321666666666663,0.23321666666666663,-27.182220458984375,0.30000001192092896,-27.032220840454102,-27.876011924138144,0.45113064527654739,-29.894123077392578,-27.092926025390625,0.028211593627929688,prim,0.5,1e+20,0.021170299999999996,1e+20,17071,6,0.029201029999999999,0.802661717,0.84137584300000001,true,branched,
6,13,5,179,38,112,t_m_28_0,m,0.11139150622513116,0.11139150622513116,-27.131082534790039,0,-27.131082534790039,-27.896647607814,0.45779443897577543,-29.874237060546875,-27.131082534790039,0.011438369750976562,prim,0.5,1e+20,0.021170299999999996,1e+20,17111,7,0.029019494999999999,0.80495710799999998,0.84327647999999999,true,branched,
7,15,6,182,41,124,t_m_31_0,m,0.24761841036765053,0.24761841036765053,-27.130298614501953,0,-27.130298614501953,-27.861005133324927,0.46686873139181556,-29.836345672607422,-27.130298614501953,0.001865386962890625,prim,0.5,1e+20,0.021170299999999996,1e+20,17126,8,0.029872312000000002,0.82068848100000003,0.85996335400000001,true,branched,
8,17,7,183,39,116,t_m_29_0,m,0.24761841036765053,0.24761841036765053,-27.121793746948242,0,-27.121793746948242,-27.852968528622487,0.4617470775335285,-29.796350479125977,-27.121793746948242,0.0069484710693359375,prim,0.5,1e+20,0.021170299999999996,1e+20,17135,9,0.030248601,0.81724736899999995,0.85677586500000003,true,branched,
9,18,8,192,39,108,t_m_27_0,m,0.1115324804954895,0.1115324804954895,-27.160131454467773,0,-27.160131454467773,-27.855611930290859,0.44822746088270538,-29.763021469116211,-27.160131454467773,0.0041332244873046875,prim,0.5,1e+20,0.021170299999999996,1e+20,17144,10,0.029929882000000001,0.80088241900000001,0.84022522200000005,true,branched,
10,21,9,197,13,44,t_m_11_0,m,0.34766707714281897,0.34766707714281897,-27.278278350830078,0.30000001192092896,-27.128278732299805,-27.871579765668375,0.42303833786904549,-29.732475280761719,-27.155576705932617,0.035100936889648438,prim,0.5,1e+20,0.021170299999999996,1e+20,17164,11,0.02990872,0.79573453400000005,0.83497248199999996,true,branched,
11,23,10,203,153,1561,t_z_280_279_0,z,0.16562237095517349,0.16562237095517349,-27.728145599365234,1,-27.228145599365234,-27.947680722316498,0.47832697707260075,-30.395664215087891,-27.26484489440918,0.016231536865234375,prim,0.5,1e+20,0.021170299999999996,1e+20,17190,12,0.029735092000000001,0.81694219999999995,0.85599543,true,branched,
12,25,11,202,152,1559,t_z_279_278_3,z,0.19494838970697551,0.19494838970697551,-27.742706298828125,1,-27.242706298828125,-27.952108808083111,0.47414874200781837,-30.38292121887207,-27.275842666625977,0.018045425415039062,prim,0.5,1e+20,0.021170299999999996,1e+20,17191,13,0.029485563999999999,0.74797761299999999,0.78678418500000002,true,branched,
13,27,12,201,43,163,t_z_12_11_1,z,0.44448084963087547,0.44448084963087547,-27.746610641479492,1,-27.246610641479492,-27.956801163023385,0.47042728518186533,-30.371055603027344,-27.288257598876953,0.015653610229492188,prim,0.5,1e+20,0.021170299999999996,1e+20,17192,14,0.029299204999999998,0.82152620099999996,0.86017580900000001,true,branched,
14,28,13,202,154,1567,t_z_280_279_3,z,0.19494838970697551,0.19494838970697551,-27.762413024902344,1,-27.262413024902344,-27.969896892509837,0.4696432146387452,-30.361515045166016,-27.302335739135742,0.015848159790039062,prim,0.5,1e+20,0.021170299999999996,1e+20,17195,15,0.028857793999999999,0.775736325,0.81392284000000004,true,branched,
